	Dates	1m	3m	6m	1Y
2758	2020-01-13	0.013667133805557494	0.020160987686439993	0.02479903991866917	0.02919828696423563
2759	2020-01-14	0.013655445450940851	0.019931100535434752	0.024581497124337374	0.028879832452238623
2760	2020-01-15	0.014918131667502315	0.020652356937405535	0.02474915401800798	0.02950691304194095
2761	2020-01-16	0.013217073415591887	0.019423757061027086	0.023791182983013165	0.028298039139658535
2762	2020-01-17	0.013084866361520371	0.01946579601445261	0.023832695576793364	0.027867764083307676
2763	2020-01-21	0.015601753101435294	0.021007758453814158	0.024905015298284403	0.02877495058928883
2764	2020-01-22	0.01550148957671277	0.021151095626744287	0.025119088690466237	0.028870797409792405
2765	2020-01-23	0.014801699155509914	0.020977243137328495	0.02501783644183898	0.02852410324409747
2766	2020-01-24	0.02076424516919624	0.02505630990439359	0.027899268860159886	0.03061126337950128
2767	2020-01-27	0.03180549174001945	0.031422098638880194	0.03208796861481964	0.033563936518192596
2768	2020-01-28	0.023343026485142325	0.026820214001072908	0.028768006032375473	0.031181457179257552
2769	2020-01-29	0.026272221663996426	0.027907982097790298	0.02954532873299965	0.031707305031490565
2770	2020-01-30	0.026621315873137617	0.02902280971142699	0.030002029896834242	0.03208015089412902
2771	2020-01-31	0.03289947609320107	0.03355848004495373	0.033143819146024184	0.033836563632477515
2772	2020-02-03	0.029577232967298576	0.0303513246711214	0.031304048457144136	0.03285354728076988
2773	2020-02-04	0.024211128674444898	0.025219215169777362	0.027681123873731145	0.03031267546557843
2774	2020-02-05	0.02155844623205518	0.023619492232993346	0.0263788853573627	0.02949193243083103
2775	2020-02-06	0.020821039697439248	0.02352073608828319	0.02665259266278461	0.029688283415105023
2776	2020-02-07	0.02325941068244338	0.025766707685589342	0.02853603556852134	0.030890852209835246
2777	2020-02-10	0.020875489079157532	0.023956777312856548	0.027004258397159246	0.029900854759416326
2778	2020-02-11	0.02179540127954361	0.024186236330740376	0.02730227131331431	0.030114683757374878
2779	2020-02-12	0.01754532007073497	0.021846813944415205	0.025626319633707543	0.029089265259789415
2780	2020-02-13	0.017889079368486584	0.022517049323427525	0.025910403349813635	0.029163815609612145
2781	2020-02-14	0.017779665449454477	0.022824749226873865	0.026440409341242265	0.029730799744266186
2782	2020-02-18	0.019743398132971084	0.023439015820409945	0.026959584370652826	0.030046812948491503
2783	2020-02-19	0.01814222321322205	0.022536295610964582	0.026464078206696003	0.02986667845246905
2784	2020-02-20	0.021784210079749917	0.025126482558322453	0.02848136210602899	0.03116074219483037
2785	2020-02-21	0.02784990510325399	0.029518580376242606	0.031592646586146814	0.03315918794889786
2786	2020-02-24	0.06068191011668691	0.04527667481009406	0.04100761016670684	0.03869164759992604
2787	2020-02-25	0.07615490513606504	0.053976715217963066	0.0468754042883121	0.04287227280044748
2788	2020-02-26	0.07074698823110498	0.052309659702406745	0.04656307524300647	0.04303389975929803
2789	2020-02-27	0.12933831625587625	0.07890001124218006	0.06088392910196147	0.051290593631518513
2790	2020-02-28	0.2052561758739497	0.11280727631054044	0.07907458998243357	0.05952929828294083
2791	2020-03-02	0.12698392746928	0.08125403403156348	0.06464148742044684	0.05261740835737316
2792	2020-03-03	0.14415715140044522	0.09405364251304398	0.06983428613325326	0.05453774777189112
2793	2020-03-04	0.10180149629132398	0.07576140967549524	0.06141608548980157	0.05169279774767625
2794	2020-03-05	0.1691974726684595	0.11498352881780127	0.08843519580385825	0.0694175513649894
2795	2020-03-06	0.21602912851096223	0.150877694432611	0.11534441076546177	0.08872854186064032
2796	2020-03-09	0.29446674521395305	0.19470534858818825	0.13876012135467752	0.09946544109859719
2797	2020-03-10	0.2365164424672705	0.16842324061713004	0.12429551144346872	0.09205692038159338
2798	2020-03-11	0.2926777988986153	0.20782620587951345	0.15186337747472078	0.10822525772595605
2799	2020-03-12	0.5317998212072751	0.3320568664785673	0.22663223243252872	0.150466511610197
2800	2020-03-13	0.308886477001194	0.2342603981172023	0.17385554703648176	0.12658921758159272
2801	2020-03-16	0.5894055938356761	0.4190936570600805	0.28376099605498023	0.17765173045389313
2802	2020-03-17	0.5626214567277075	0.39975919180658065	0.2866526051081951	0.1890026586274998
2803	2020-03-18	0.6746543780176034	0.5470009691347653	0.3995279462030949	0.27395107473444646
2804	2020-03-19	0.48200677390316987	0.3859092970499372	0.2895248459884413	0.20754777987315612
2805	2020-03-20	0.44464228563714076	0.38969505587562747	0.29614151506591435	0.2011113882135535
2806	2020-03-23	0.38089924653834456	0.28581764505003987	0.21545815956546294	0.15975720026979967
2807	2020-03-24	0.35130212959062573	0.21986090962384316	0.15954936635489578	0.116822485428914
2808	2020-03-25	0.43640788153794424	0.27874721197218344	0.20643948485530672	0.14044768120336176
2809	2020-03-26	0.3750413099013088	0.22925134313140982	0.16484675829512171	0.11864613568826059
2810	2020-03-27	0.43027704910046477	0.2853746436848076	0.19889469471024407	0.14613618475801818
2811	2020-03-30	0.3337286241329944	0.242383217274682	0.181399662398498	0.1372220653980692
2812	2020-03-31	0.2917540770239404	0.21527128374793467	0.17233090027250353	0.13300476097882183
2813	2020-04-01	0.3366370671157352	0.24225852892263514	0.18935435995755961	0.13988092574131988
2814	2020-04-02	0.27861641536890464	0.2152123120404017	0.17692221354522988	0.13724874773796392
2815	2020-04-03	0.234013889763588	0.2020613147727698	0.17129735505356913	0.1323850132104265
2816	2020-04-06	0.1950533913535043	0.17134197261820042	0.1474042513072977	0.12217070721651528
2817	2020-04-07	0.20482613653722326	0.17265575758577117	0.14655324056021277	0.11770657117635851
2818	2020-04-08	0.19241036860492292	0.1698843507785624	0.146974917923046	0.11536505159483579
2819	2020-04-09	0.17309127054847476	0.15914235085767603	0.138643391678687	0.11152160614468275
2820	2020-04-13	0.16784127798659795	0.15917745824829502	0.13971278956749286	0.11314588933171277
2821	2020-04-14	0.14100038320319042	0.13368400034913572	0.12290383501988526	0.10209343313113595
2822	2020-04-15	0.1640306019196474	0.15448868932713344	0.13763304833808188	0.11223660784149973
2823	2020-04-16	0.16402363176235735	0.15497568688959373	0.13895972907928605	0.11379936532524462
2824	2020-04-17	0.13701449026021728	0.14140108552602257	0.13018186429511097	0.10877500954808485
2825	2020-04-20	0.1726985893687105	0.16631510845318298	0.14579961602734512	0.11683394345657977
2826	2020-04-21	0.19707871064591298	0.18471299795694812	0.16035266488304242	0.12702426287416793
2827	2020-04-22	0.1652953502945887	0.19409632907734356	0.15080055321177283	0.1246472935808666
2828	2020-04-23	0.14951656308953332	0.1573856401264558	0.14363474303216534	0.11759095849731194
2829	2020-04-24	0.10980678229371924	0.14328084722144535	0.1354030208071208	0.1136365093750489
2830	2020-04-27	0.09456620564287112	0.12362875125294392	0.12114573431875354	0.1087139521180217
2831	2020-04-28	0.08943539154539355	0.12014636832572444	0.1155492727515855	0.09872821795560446
2832	2020-04-29	0.08058204505695932	0.10993828532673162	0.10917345615596792	0.09719196291122334
2833	2020-04-30	0.09330769221167132	0.11970282983124839	0.11486245279637348	0.09908682823877964
2834	2020-05-01	0.1187795163568198	0.14240267292047276	0.13457097536938023	0.11567008488869071
2835	2020-05-04	0.11143497898138191	0.13436118676787037	0.1308184130606778	0.11442811313262664
2836	2020-05-05	0.09205188755636273	0.11482584682119572	0.12146492186718236	0.10485203839889969
2837	2020-05-06	0.09737016716198602	0.11700106321027079	0.11788098317023019	0.10485115284295435
